Article,Origin_City,article_length,Date,since_Date_years,Heading,NewsType,rownumber
"KARACHI: K Electric has announced a reduction of Rs2.08 in powe tariff which will be applicable in electricity bills for the month of December. According to the spokesman of K Electric, the power tariff cut has been made as a result of fuel surcharge adjustment for the months of August and September. Earlier, National Electric Power Regulatory Authority (NEPRA) had also announced a decrease in electricity tariff which was applicable for all power distributors of the country with the exception of K Electric.",KARACHI,512,2015-12-08T00:00:00.000Z,9,K Electric slashes tariff by Rs208 per uni,business,377
"LAHORE: Federal Finance Minister, Ishaq Dar on Saturday claimed that Pakistan Muslim League-N (PML-N) has once again put the ‘failed state’ back on its feet. “We are taking Pakistan to an economic take off,” he said while addressing a national conference organized by Jang Group of Companies on the topic of ‘Role of Islamic Banking in Pakistan Economy’. He said the promotion of Islamic banking in Pakistan is among the top priorities of the government. “Instructions have already been issued to the institutions to carry out transactions through Islamic banking,” he added. Governor State Bank of Pakistan (SBP) Ashraf Wathra, president National Bank of Pakistan (NBP) Ashraf Iqbal and president Muslim Commercial Bank (MCB), Mian Mansha said there is a great scope for Islamic banking in agriculture, SMEs and housing sectors. MD Jang Group, Sarmad Ali, Deputy Governor SBP Saeed Ahmed, president Meezan Bank Irfan Siddiqui, president SAARC Chamber Iftikhar Ali Malik and president Al-Barka Bank Shafaat Ahmed also spoke on the occasion.",LAHORE,1040,2015-12-12T00:00:00.000Z,9,PML N put failed state back on its feet again Dar,business,383
"ISLAMABAD: Federal Finance Minister, Ishaq Dar on Sunday said the government has no intention to undertake privatization of Pakistan International Airlines (PIA). </strongIn a statement issued today, Ishaq Dar said the government is only looking for a strategic partner. He said the fleet of the national flag carrier has expanded under the present government. The Finance Minister said PIA will once again become a profitable organization. Meanwhile, PIA action committee held an emergency meeting here today and announced to stage a protest once again against the presidential ordinance for turning PIA into a public limited company. The PIA employees at head office and other outlets across the country will take part in the protest, sources said.",ISLAMABAD,757,2015-12-21T00:00:00.000Z,9,No intention to privatize PIA Ishaq Dar,business,392
"ISLAMABAD: Minister for Water and Power Khawaja Asif on Monday said that 2015 remained a good year for the power sector as the total recoveries from consumers stood at 93 percent against 88 percent last year.The minister in a statement here, said that in December maximum recoveries were made bringing the annual recoveries to 93 percent resulting in a benefit of Rs 56 billion on this account only.The minister said that the losses also went down from 19per cent to 17.9 per cent during the said period resulting in a benefit of around Rs 12 billion.“We are Rs 68 billion higher in revenue in 2015 despite reducing monthly tariff,” he said.Asif said that Rs 49 billion were also saved on account of oil consumption owing to ‘merit order generation’.He said the government also succeeded to cap the circular debt since November 2014 and kept it in the band of Rs 310 – 330 billion.",ISLAMABAD,881,2016-01-04T00:00:00.000Z,9,Power sector recoveries stand at 93 pcin 2015 Asif,business,418
"TOKYO: Brent crude fell to another 12-year low on Thursday as the prospect of more oil supplies from Iran loomed, amid gloom over a world already awash with supply and concerns about global economic growth hitting equity markets.</strongThe global benchmark dropped as far as $29.73, the lowest since February 2004 and down more than 1.5 percent.It was down 26 cents at $30.05 a barrel at 0452 GMT and the contract has fallen every trading day this year.West Texas Intermediate (WTI) was up 5 cents at $30.53 in see-saw trading.US oil is trading at a rare premium to Brent, reflecting the hit that the global benchmark is taking with the prospect of more crude from Iran flowing as sanctions imposed on the country for its nuclear programme may be lifted as early as Friday.It was the second time in two days for Brent, the global benchmark, to drop below $30 a barrel after WTI fell below that mark on Tuesday, before recouping some of the losses.""Perhaps $30 or just slightly below is acting as a little bit of a floor, but that being said that´s a straw in a hay barn in terms of positivity,"" said Ben le Brun, market analyst at OptionsXpress in Sydney.""The rest of the news is decidedly negative about oil,"" he said.The United Nations´ nuclear watchdog is likely to confirm on Friday that Iran has curtailed its nuclear programme as agreed with world powers, paving the way for sanctions to be lifted.",TOKYO,1412,2016-01-14T00:00:00.000Z,9,Brent falls to another 12 year low as Iran supply,business,477
"KARACHI: Pakistan blind cricket team kept their winning streak intact in the ongoing Asia Cup T20 Cricket for Blind, winning their third consecutive match against Sri Lanka by 90 runs and in the process qualified for the summit clash of the tournament on Thursday.According to information made available here, Sri Lanka won the toss and invited Pakistan to bat first at Jawaharlal Nehru International Stadium in Kochi, India.Pakistan posted a massive total of 214 runs on board for the loss of eight wickets in allotted 20 overs.Muhammad Akram was the top scorer with 44 runs while Muhammad Ayyaz made 34 off 19 balls. Zahid Mehmood, Anees Javed and Amri Ishfaq made 29, 23 and 22 runs respectively. Kulam Lakmal took two wickets while Suman and Kalyan shared one wicket each.Sri Lanka in reply made 124 runs in allotted 20 overs for the loss of eight wickets. Deshpriya made 36 runs and Ruwan Washantha scored 33 runs. Muhammad Idrees Saleem took two wickets while Muhammad Ayyaz, Amir Ishfaq, Muhammad Akram and Sajid Nawaz took a wicket apiece. Muhammad Ayyaz received Man of the Match award.With this win, Pakistan blind cricket team qualified for the final of the Asia Cup. The other finalist team will be decided on Friday after the match between India and Sri Lanka. ",KARACHI,1274,2016-01-21T00:00:00.000Z,9,Pakistan tames Sri Lanka to qualify for Asia Cup fi,sports,513
"WELLINGTON: Pakistan won toss and invited New Zealand to bat in the first ODI of the three-match series here on Monday.Pakistan skipper Azhar Ali said his bowlers will try to get early wickets and enter the field with a thorough team plan. Badly battered in the earlier T20s, Pakistani cricketers have worked hard inside the practice nets to get themselves a good start in the ODI series. In the first of the three-ODI series, Ahmed Shahzad, Suhaib Maqsood and Anwar Ali have been included in the team whose other players are Azhar Ali, Muhammad Hafeez, Babar Azam, Sarfaraz Ahmed, Anwar Ali, Muhammad Irfan, Wahab Riaz, Ammad Waseem and Muhammad Amir will be part of the Pakistan team. Muhammad Amir is playing his first ODI after remaining outside the field for five-years. After winning the toss, Azhar Ali said it would be challenging for him as a captain to play in New Zealand. However, he said, his team’s spirits are high to win.",WELLINGTON,937,2016-01-25T00:00:00.000Z,9,Pakistan wins toss invite New Zealand to bat in firs ODI,sports,540
"MANILA: Gold climbed to a two-week high on Tuesday as falling equities burnished bullion´s safe-haven draw, and the dollar also came under pressure as the Federal Reserve meets against a backdrop of a slowing global economy.</strongRisk appetite soured again as equities and crude oil resumed their decline, boosting gold demand.Spot gold touched a session peak of $1,111.26 an ounce, its loftiest since Jan. 8, and was up 0.3 percent at $1,110.86 by 0313 GMT.""Gold might go for a run,"" said Brian Lan, managing director at gold dealer GoldSilver Central in Singapore, adding the metal can test $1,138, a level last reached in November.""If that is breached, it could go to $1,160.""U.S. gold for February delivery rose 0.6 percent to $1,111.50 an ounce.Indications that a wobbly global economy may limit the opportunity for the U.S. Federal Reserve to raise interest rates this year also supported gold.The Federal Open Market Committee starts a two-day policy meeting later on Tuesday, and is widely expected to leave its federal funds rate unchanged at 0.25-0.50 percent.The probability of another rate increase at the next Fed meeting in March has eased, with some analysts seeing it postponed to later in the year.That puts downward pressure on the dollar and benefits gold, which has gained nearly 5 percent so far this year after declining in 2015 for a third year in a row.At this week´s meeting, it is likely that ""the Fed will reiterate its dovish stance and this should push gold prices up"", INTL FCStone analyst Edward Meir wrote to clients.Meir said the poor shape of the U.S. equity market shows ""a major capitulation will be needed in order to clear out much of the selling"", suggesting investors should keep a bullish gold bias in the near term.Spot platinum was down 0.3 percent at $855.74 an ounce, but well off last week´s seven-year trough of $806.31.Platinum is forecast to average less than $1,000 an ounce in 2016 for the first time in more than a decade as global growth concerns and demand fallout from the Volkswagen scandal grip the market, a Reuters poll showed.Spot palladium slipped 0.3 percent to $488.50 an ounce and silver gained 0.2 percent to $14.27.",MANILA,2190,2016-01-26T00:00:00.000Z,9,Gold hits two week high as equities retreat agai,business,541
"ISLAMABAD: The Oil and Gas Regulatory Authority (OGRA) on Sunday issued a notification, reducing the prices of petroleum products by Rs5 per litre effective from 12 AM Monday.</strongAccording to the notification, after the reduction the new price of petrol has been fixed at Rs71.25 a litre; High Speed Diesel Rs75.79; High Octane Blending Component (HOBC) Rs75.66 and light diesel Rs39.95 a litre.Prime Minister Nawaz Sharif on Saturday made the announcement that the government is bringing down the prices of all the petroleum products by Rs5 from February 1.",ISLAMABAD,569,2016-01-31T00:00:00.000Z,9,POL prices slashed by Rs5litre from Monday,business,564
"MELBOURNE: Australia has banned women´s cricketer Piepa Cleary for six months, with another 18 months suspended, for placing bets on a men´s test match between Australia and New Zealand in November.</strongThe 19-year-old Cleary, who plays for Western Australia state, had placed six bets totalling A$15.50 ($11.10) on the match at Adelaide Oval.""CA has imposed a 24-month period of ineligibility on Cleary of which 18 months are suspended on condition that she commits no further offences under the (Anti-Corruption) Code,"" Cricket Australia said in a media release on Thursday.""She is also required to participate in anti-corruption player education programs delivered by CA in future.""The penalty bans Cleary from all domestic and international cricket, including cricket-related functions and events.It follows a 24-month suspended sentence given to Sydney-based women´s cricketer Angela Reakes in December for placing five bets worth a total of A$9 on the man-of-the-match for the cricket World Cup final last March.Cricket Australia said there were ""aggravating factors"" in Cleary´s case, including that she had received face-to-face anti-corruption training two months before she placed the bets.""Bets totalling $15.50 might seem small but it doesn´t matter,"" Cricket Australia Integrity Unit boss Iain Roy said.""We take a zero tolerance approach to any form of gambling on cricket by players in order to protect the integrity of the game.""",MELBOURNE,1454,2016-02-04T00:00:00.000Z,9,Australia bans womens cricketer for betting on,sports,585
"ISLAMABAD: The Pakistan International Airline (PIA) on Wednesday announced reduction in domestic and international fares.</strongPIA spokesman Danyal Gilani said that PIA has reduced Umrah fares by Rs4000. The PIA has also reduced Islamabad-Karachi fares to Rs7500 from Rs9,000.He went on to say that 10 percent reduction has also been made on international flights including London, Manchester, New York, Pairs, Oslo and Toronto routes.",ISLAMABAD,444,2016-02-10T00:00:00.000Z,9,PIA reduces far,business,622
"KARACHI: Sana Mir will lead a 15-member Pakistan Women squad to the ICC Women´s World T20 2016 in India in March-April.Pakistan Women team is drawn in Group B, and begins its campaign against West Indies on March 16 in Chennai, before facing India (March 19, Delhi), Bangladesh (March 24, Delhi) and England (March 27, Chennai) in the group stage.Shaharyar Mohammad Khan, the PCB chairman, has approved the 15-member women´s team as well as five standbys, picked up by the Women´s National Selection Committee compromising Farrukh Zaman, Urooj Mumtaz Khan and Syed Ali Naqvi for the upcoming ICC Women World T20 2016 to be played in India.The training camp for the tournament will be announced shortly.The selected players are:<br/>Javeria Wadood, Bibi Nahida, Sidra Amin, Bismah Maroof, Muneeba Ali Siddiqui, Sana Mir (captain), Nida Rashid, Iram Javed, Asmavia Iqbal Khokhar, Anam Amin, Sania Iqbal, Sadia Iqbal, Aliya Riaz, Sidra Nawaz (wicketkeeper), Syeda Nain Fatima Abidi.",KARACHI,979,2016-02-11T00:00:00.000Z,9,Sana Mir to lead Pakistan in Womens World T20,sports,637
"SHARJAH: Quetta Gladiators batsman Ahmed Shahzad and Peshawar Zalmi fast bowler Wahab Riaz overcame by emotions and pushed each other during tonight’s match of Pakistan Super League (PSL) at Sharjah Cricket Stadium.</strongHere is what happened. Ahmed Shahzad after hitting a six on Wahab Riaz ball got bowled on the very next ball.Riaz got Shahzad out and as the two players began to walk towards each other, they were clearly shown in the TV footage having an exchange of heated words.This was not it. The two players then came close to each other and got physical, pushing each other away.Take a look:iframe allowfullscreen=""allowfullscreen"" frameborder=""0"" height=""270"" src=""//www.dailymotion.com/embed/video/x3s2pi8"" width=""480""></iframeEarlier, Quetta Gladiators won the toss and elected to bat against Peshawar Zalmi in the 17th match of PSL.PCB fines both players</strongBoth Wahab Riaz and Ahmed Shahzad were slapped with heavy fines along with a warning by Pakistan Cricket Board (PCB).Ahmed Shehzad was fined 30 per cent of his match fee while Wahab Riaz was penalised with 40 percent of his match earnings by the referee Roshan Mahanama.",SHARJAH,1163,2016-02-14T00:00:00.000Z,9,Wahab Riaz Ahmed Shahzad get physical at PSL,sports,666
"DUBAI: Two fine half-centuries by Umar Akmal and Sohaib Maqsood helped Lahore Qalandars post a moderate total of 150 for five wickets against Islamabad United in the 20th T20 match of the Pakistan Super League here on Wednesday.Sent into bat, Lahore Qalandars made a disastrous start losing three early wickets for just six runs as left-arm pacers Mohammad Irfan and Rumman Raees dismissed Azhar Ali (1), Cameron Delport (1) and Mohammad Rizwan (naught).However, Sohaib and Umar Akmal batted together to take their team out of trouble and added 97 runs for the fourth wicket stand , then Sohaib got out by Irfan for 57. His 44-ball innings was lace with five fours and two sixes.Then Umar along with Darren Bravo added another 41 runs before the latter was run out for 13 off the second last ball of the innings.However, Umar lofted a towering six off the last ball to set a 151-run target for Islamabad United.Umar remained not out on 72, scored from 49 balls with  five fours and three sixes.Irfan captured three wickets for 22 and Rumman took one for 31. ",DUBAI,1058,2016-02-17T00:00:00.000Z,9,Umar Sohaib take Lahore to 150 5 against Islamabad,sports,693
"Dhaka: The United Arab Emirates (UAE) captain Amjad javed won the toss and elected to bowl first against the hosts, Bangladesh in the third Twenty20 International of the Asia Cup 2016 here at the Shere Bangla national Stadium Mirpur on Friday.Both teams have made one change each. Nurul Hasan comes in Imrul Kayes for Bangladesh while Qadeer is replaced by Fahad Tariq for UAE.Teams:Bangladesh: Nurul Hasan, Soumya Sarkar, Sabbir Rahman, Mohammad Mithun, Mahmudullah, Shakib Al Hasan, Mushfiqur Rahim (wk), Mashrafe Mortaza (captain), Taskin Ahmed, Al-Amin Hossain, Mustafizur Rahman.UAE: Rohan Mustafa, Muhammad kaleem, Mohammad Shahzad, Muhammad Usman, Shaiman Anwar, Swapnil Patil (wk), Saqlain Haider, Amjad Javed (captain), Mohammad Naveed, Ahmed Raza, Fahad Tariq. ",Dhaka,771,2016-02-26T00:00:00.000Z,9,UAE win toss elect to bowl against Banglad,sports,755
